timestamp,object,message
2026-06-24T07:49:50.875Z,backend,Hit:1 http://deb.debian.org/debian trixie InRelease
2026-06-24T07:49:50.875Z,backend,Hit:1 http://deb.debian.org/debian trixie InRelease
2026-06-24T07:49:50.885Z,backend,Get:2 http://deb.debian.org/debian trixie-updates InRelease [47.3 kB]
2026-06-24T07:49:50.885Z,backend,Get:2 http://deb.debian.org/debian trixie-updates InRelease [47.3 kB]
2026-06-24T07:49:50.927Z,backend,Hit:3 http://deb.debian.org/debian-security trixie-security InRelease
2026-06-24T07:49:50.927Z,backend,Hit:3 http://deb.debian.org/debian-security trixie-security InRelease
2026-06-24T07:49:50.942Z,backend,Get:4 http://deb.debian.org/debian trixie/main amd64 Packages [9671 kB]
2026-06-24T07:49:50.942Z,backend,Get:4 http://deb.debian.org/debian trixie/main amd64 Packages [9671 kB]
2026-06-24T07:49:51.441Z,backend,Get:5 http://deb.debian.org/debian trixie-updates/main amd64 Packages [5412 B]
2026-06-24T07:49:51.441Z,backend,Get:5 http://deb.debian.org/debian trixie-updates/main amd64 Packages [5412 B]
2026-06-24T07:49:51.460Z,backend,Get:6 http://deb.debian.org/debian-security trixie-security/main amd64 Packages [222 kB]
2026-06-24T07:49:51.460Z,backend,Get:6 http://deb.debian.org/debian-security trixie-security/main amd64 Packages [222 kB]
2026-06-24T07:49:52.444Z,backend,Fetched 9946 kB in 2s (5868 kB/s)
2026-06-24T07:49:52.444Z,backend,Reading package lists...
2026-06-24T07:49:52.444Z,backend,Fetched 9946 kB in 2s (5868 kB/s)
2026-06-24T07:49:52.444Z,backend,Reading package lists...
2026-06-24T07:49:53.413Z,backend,
2026-06-24T07:49:53.413Z,backend,
2026-06-24T07:49:53.437Z,backend,Reading package lists...
2026-06-24T07:49:53.437Z,backend,Reading package lists...
2026-06-24T07:49:54.418Z,backend,
2026-06-24T07:49:54.418Z,backend,
2026-06-24T07:49:54.436Z,backend,Building dependency tree...
2026-06-24T07:49:54.436Z,backend,Building dependency tree...
2026-06-24T07:49:54.678Z,backend,
2026-06-24T07:49:54.678Z,backend,Reading state information...
2026-06-24T07:49:54.678Z,backend,
2026-06-24T07:49:54.678Z,backend,Reading state information...
2026-06-24T07:49:54.679Z,backend,
2026-06-24T07:49:54.679Z,backend,
2026-06-24T07:49:55.053Z,backend,The following additional packages will be installed:
2026-06-24T07:49:55.053Z,backend,binutils binutils-common binutils-x86-64-linux-gnu cpp cpp-14
2026-06-24T07:49:55.053Z,backend,cpp-14-x86-64-linux-gnu cpp-x86-64-linux-gnu gcc-14 gcc-14-x86-64-linux-gnu
2026-06-24T07:49:55.053Z,backend,The following additional packages will be installed:
2026-06-24T07:49:55.053Z,backend,binutils binutils-common binutils-x86-64-linux-gnu cpp cpp-14
2026-06-24T07:49:55.053Z,backend,cpp-14-x86-64-linux-gnu cpp-x86-64-linux-gnu gcc-14 gcc-14-x86-64-linux-gnu
2026-06-24T07:49:55.054Z,backend,gcc-x86-64-linux-gnu libasan8 libatomic1 libbinutils libcc1-0 libcom-err2
2026-06-24T07:49:55.054Z,backend,libctf-nobfd0 libctf0 libgcc-14-dev libgomp1 libgprofng0 libgssapi-krb5-2
2026-06-24T07:49:55.054Z,backend,libhwasan0 libisl23 libitm1 libjansson4 libk5crypto3 libkeyutils1 libkrb5-3
2026-06-24T07:49:55.054Z,backend,gcc-x86-64-linux-gnu libasan8 libatomic1 libbinutils libcc1-0 libcom-err2
2026-06-24T07:49:55.054Z,backend,libctf-nobfd0 libctf0 libgcc-14-dev libgomp1 libgprofng0 libgssapi-krb5-2
2026-06-24T07:49:55.054Z,backend,libhwasan0 libisl23 libitm1 libjansson4 libk5crypto3 libkeyutils1 libkrb5-3
2026-06-24T07:49:55.057Z,backend,libkrb5support0 libldap2 liblsan0 libmpc3 libmpfr6 libpq5 libquadmath0
2026-06-24T07:49:55.057Z,backend,libkrb5support0 libldap2 liblsan0 libmpc3 libmpfr6 libpq5 libquadmath0
2026-06-24T07:49:55.058Z,backend,libsasl2-2 libsasl2-modules-db libsframe1 libssl-dev libtsan2 libubsan1
2026-06-24T07:49:55.058Z,backend,libsasl2-2 libsasl2-modules-db libsframe1 libssl-dev libtsan2 libubsan1
2026-06-24T07:49:55.062Z,backend,Suggested packages:
2026-06-24T07:49:55.062Z,backend,binutils-doc gprofng-gui binutils-gold cpp-doc gcc-14-locales cpp-14-doc
2026-06-24T07:49:55.062Z,backend,gcc-multilib make manpages-dev autoconf automake libtool flex bison gdb
2026-06-24T07:49:55.062Z,backend,gcc-doc gcc-14-multilib gcc-14-doc gdb-x86-64-linux-gnu krb5-doc krb5-user
2026-06-24T07:49:55.062Z,backend,postgresql-doc-17 libssl-doc
2026-06-24T07:49:55.062Z,backend,Recommended packages:
2026-06-24T07:49:55.062Z,backend,libc6-dev | libc-dev libc6-dev libc-dev krb5-locales libldap-common
2026-06-24T07:49:55.062Z,backend,libsasl2-modules
2026-06-24T07:49:55.062Z,backend,Suggested packages:
2026-06-24T07:49:55.062Z,backend,binutils-doc gprofng-gui binutils-gold cpp-doc gcc-14-locales cpp-14-doc
2026-06-24T07:49:55.062Z,backend,gcc-multilib make manpages-dev autoconf automake libtool flex bison gdb
2026-06-24T07:49:55.062Z,backend,gcc-doc gcc-14-multilib gcc-14-doc gdb-x86-64-linux-gnu krb5-doc krb5-user
2026-06-24T07:49:55.062Z,backend,postgresql-doc-17 libssl-doc
2026-06-24T07:49:55.062Z,backend,Recommended packages:
2026-06-24T07:49:55.062Z,backend,libc6-dev | libc-dev libc6-dev libc-dev krb5-locales libldap-common
2026-06-24T07:49:55.062Z,backend,libsasl2-modules
2026-06-24T07:49:55.199Z,backend,The following NEW packages will be installed:
2026-06-24T07:49:55.199Z,backend,binutils binutils-common binutils-x86-64-linux-gnu cpp cpp-14
2026-06-24T07:49:55.199Z,backend,cpp-14-x86-64-linux-gnu cpp-x86-64-linux-gnu gcc gcc-14
2026-06-24T07:49:55.199Z,backend,gcc-14-x86-64-linux-gnu gcc-x86-64-linux-gnu libasan8 libatomic1 libbinutils
2026-06-24T07:49:55.199Z,backend,The following NEW packages will be installed:
2026-06-24T07:49:55.199Z,backend,binutils binutils-common binutils-x86-64-linux-gnu cpp cpp-14
2026-06-24T07:49:55.199Z,backend,cpp-14-x86-64-linux-gnu cpp-x86-64-linux-gnu gcc gcc-14
2026-06-24T07:49:55.199Z,backend,gcc-14-x86-64-linux-gnu gcc-x86-64-linux-gnu libasan8 libatomic1 libbinutils
2026-06-24T07:49:55.200Z,backend,libcc1-0 libcom-err2 libctf-nobfd0 libctf0 libgcc-14-dev libgomp1
2026-06-24T07:49:55.200Z,backend,libgprofng0 libgssapi-krb5-2 libhwasan0 libisl23 libitm1 libjansson4
2026-06-24T07:49:55.200Z,backend,libk5crypto3 libkeyutils1 libkrb5-3 libkrb5support0 libldap2 liblsan0
2026-06-24T07:49:55.200Z,backend,libcc1-0 libcom-err2 libctf-nobfd0 libctf0 libgcc-14-dev libgomp1
2026-06-24T07:49:55.200Z,backend,libgprofng0 libgssapi-krb5-2 libhwasan0 libisl23 libitm1 libjansson4
2026-06-24T07:49:55.200Z,backend,libk5crypto3 libkeyutils1 libkrb5-3 libkrb5support0 libldap2 liblsan0
2026-06-24T07:49:55.201Z,backend,libmpc3 libmpfr6 libpq-dev libpq5 libquadmath0 libsasl2-2
2026-06-24T07:49:55.201Z,backend,libmpc3 libmpfr6 libpq-dev libpq5 libquadmath0 libsasl2-2
2026-06-24T07:49:55.202Z,backend,libsasl2-modules-db libsframe1 libssl-dev libtsan2 libubsan1
2026-06-24T07:49:55.202Z,backend,libsasl2-modules-db libsframe1 libssl-dev libtsan2 libubsan1
2026-06-24T07:49:55.278Z,backend,"0 upgraded, 43 newly installed, 0 to remove and 0 not upgraded."
2026-06-24T07:49:55.278Z,backend,Need to get 56.1 MB of archives.
2026-06-24T07:49:55.278Z,backend,"After this operation, 213 MB of additional disk space will be used."
2026-06-24T07:49:55.278Z,backend,Get:1 http://deb.debian.org/debian trixie/main amd64 libsframe1 amd64 2.44-3 [78.4 kB]
2026-06-24T07:49:55.278Z,backend,"0 upgraded, 43 newly installed, 0 to remove and 0 not upgraded."
2026-06-24T07:49:55.278Z,backend,Need to get 56.1 MB of archives.
2026-06-24T07:49:55.278Z,backend,"After this operation, 213 MB of additional disk space will be used."
2026-06-24T07:49:55.278Z,backend,Get:1 http://deb.debian.org/debian trixie/main amd64 libsframe1 amd64 2.44-3 [78.4 kB]
2026-06-24T07:49:55.315Z,backend,Get:2 http://deb.debian.org/debian trixie/main amd64 binutils-common amd64 2.44-3 [2509 kB]
2026-06-24T07:49:55.315Z,backend,Get:2 http://deb.debian.org/debian trixie/main amd64 binutils-common amd64 2.44-3 [2509 kB]
2026-06-24T07:49:55.454Z,backend,Get:3 http://deb.debian.org/debian trixie/main amd64 libbinutils amd64 2.44-3 [534 kB]
2026-06-24T07:49:55.454Z,backend,Get:3 http://deb.debian.org/debian trixie/main amd64 libbinutils amd64 2.44-3 [534 kB]
2026-06-24T07:49:55.479Z,backend,Get:4 http://deb.debian.org/debian trixie/main amd64 libgprofng0 amd64 2.44-3 [808 kB]
2026-06-24T07:49:55.479Z,backend,Get:4 http://deb.debian.org/debian trixie/main amd64 libgprofng0 amd64 2.44-3 [808 kB]
2026-06-24T07:49:55.528Z,backend,Get:5 http://deb.debian.org/debian trixie/main amd64 libctf-nobfd0 amd64 2.44-3 [156 kB]
